Point,Corner,Vbias,Pass/Fail,PWR,FREQ,/V0/PLUS
30,nom,180e-3,pass,2.15755397665862e-09,1.47247447959192e+02,
31,nom,190e-3,pass,2.30532292563945e-09,1.39808101898532e+02,
32,nom,192.0253165e-3,pass,2.33927368836365e-09,1.38584980659004e+02,
33,nom,194.0506329e-3,pass,2.37938261563199e-09,1.37683357954032e+02,
34,nom,196.0759494e-3,pass,2.41456053649733e-09,1.37362361105630e+02,
35,nom,198.1012658e-3,pass,2.45666583233082e-09,1.35233813594952e+02,
36,nom,200.1265823e-3,pass,2.50185384224729e-09,1.33977437942614e+02,
37,nom,202.1518987e-3,pass,2.54664453860569e-09,1.33228630014082e+02,
38,nom,204.1772152e-3,pass,2.59748629719901e-09,1.31827769397672e+02,
39,nom,206.2025316e-3,pass,2.65329676267200e-09,1.30122230332999e+02,
40,nom,208.2278481e-3,pass,2.70319078544112e-09,1.28918965048919e+02,
41,nom,210.2531646e-3,pass,2.76147387011569e-09,1.28029688980572e+02,
42,nom,212.278481e-3,pass,2.81598956683467e-09,1.26197955722478e+02,
43,nom,214.3037975e-3,pass,2.88489490866830e-09,1.25464109031853e+02,
44,nom,216.3291139e-3,pass,2.94910497129010e-09,1.24384555218056e+02,
45,nom,218.3544304e-3,pass,3.01151016602694e-09,1.23336893350562e+02,
46,nom,220.3797468e-3,pass,3.09162638668591e-09,1.22475776857175e+02,
47,nom,222.4050633e-3,pass,3.15912677407141e-09,1.21089833393190e+02,
48,nom,224.4303797e-3,pass,3.23642327711308e-09,1.20667389684544e+02,
49,nom,226.4556962e-3,pass,3.32892406664632e-09,1.19251199021228e+02,
50,nom,228.4810127e-3,pass,3.41960879795727e-09,1.17793365725510e+02,
51,nom,230.5063291e-3,pass,3.50422651114484e-09,1.16400934580223e+02,
52,nom,232.5316456e-3,pass,3.60060435036659e-09,1.16082776240188e+02,
53,nom,234.556962e-3,pass,3.70504013285392e-09,1.14909335072706e+02,
54,nom,236.5822785e-3,pass,3.80849252764217e-09,1.13633834274819e+02,
55,nom,238.6075949e-3,pass,3.91852250400911e-09,1.12963361931972e+02,
56,nom,240.6329114e-3,pass,4.03077179349001e-09,1.11861121106507e+02,
57,nom,242.6582278e-3,pass,4.15215509307897e-09,1.11064105821210e+02,
58,nom,244.6835443e-3,pass,4.27342583124596e-09,1.10202554023064e+02,
59,nom,246.7088608e-3,pass,4.41681278594410e-09,1.08776049139726e+02,
60,nom,248.7341772e-3,pass,4.55648354331376e-09,1.08431227301948e+02,
61,nom,250.7594937e-3,pass,4.69895247956283e-09,1.07752916483400e+02,
62,nom,252.7848101e-3,pass,4.84939013608158e-09,1.07290793826862e+02,
63,nom,254.8101266e-3,pass,5.01537770408877e-09,1.05332046211817e+02,
64,nom,256.835443e-3,pass,5.19079020777508e-09,1.04834232010769e+02,
65,nom,258.8607595e-3,pass,5.34779504895137e-09,1.04019686539641e+02,
66,nom,260.8860759e-3,pass,5.53149614401472e-09,1.03369895794124e+02,
67,nom,262.9113924e-3,pass,5.73039165172140e-09,1.02026879841219e+02,
68,nom,264.9367089e-3,pass,5.93274722974115e-09,1.01696226018300e+02,
69,nom,266.9620253e-3,pass,6.13444384135521e-09,1.01114127589762e+02,
70,nom,268.9873418e-3,pass,6.34187650990206e-09,9.97907111061336e+01,
71,nom,271.0126582e-3,pass,6.58050822630524e-09,9.91151852827271e+01,
72,nom,273.0379747e-3,pass,6.82286781946970e-09,9.82946204635078e+01,
73,nom,275.0632911e-3,pass,7.07753520789146e-09,9.78586556142242e+01,
74,nom,277.0886076e-3,pass,7.31267043644455e-09,9.66320619295093e+01,
75,nom,279.1139241e-3,pass,7.59074077490629e-09,9.66556139113873e+01,
76,nom,281.1392405e-3,pass,7.90448425412288e-09,9.55306432933741e+01,
77,nom,283.164557e-3,pass,8.17339087681214e-09,9.42339793185233e+01,
78,nom,285.1898734e-3,pass,8.48371030663753e-09,9.38991731616383e+01,
79,nom,287.2151899e-3,pass,8.80750600268740e-09,9.30385567010510e+01,
80,nom,289.2405063e-3,pass,9.17434100632618e-09,9.26805870748500e+01,
81,nom,291.2658228e-3,pass,9.53222310379925e-09,9.26091563349348e+01,
82,nom,293.2911392e-3,pass,9.89623113193689e-09,9.18500215687220e+01,
83,nom,295.3164557e-3,near,1.02828376144707e-08,9.12553095400663e+01,
84,nom,297.3417722e-3,near,1.06603134899527e-08,8.99776352651141e+01,
85,nom,299.3670886e-3,fail,1.10918603970830e-08,8.99647627846346e+01,
86,nom,301.3924051e-3,fail,1.15673554146420e-08,8.89897982355083e+01,
87,nom,303.4177215e-3,fail,1.20229440628103e-08,8.82964601118150e+01,
88,nom,305.443038e-3,fail,1.25054203350688e-08,8.73738197222081e+01,
89,nom,307.4683544e-3,fail,1.29679683070901e-08,8.71700019483370e+01,
90,nom,309.4936709e-3,fail,1.35151354271273e-08,8.62219259506456e+01,
91,nom,311.5189873e-3,fail,1.40576492654598e-08,8.61128829061312e+01,
92,nom,313.5443038e-3,fail,1.46549547051728e-08,8.47529128062620e+01,
93,nom,315.5696203e-3,fail,1.52079756777117e-08,8.48699959110539e+01,
94,nom,317.5949367e-3,fail,1.58351221642946e-08,8.44557020439523e+01,
95,nom,319.6202532e-3,fail,1.64446501321656e-08,8.36873021881703e+01,
96,nom,321.6455696e-3,fail,1.71545468140022e-08,8.29872529610850e+01,
97,nom,323.6708861e-3,fail,1.78601392025711e-08,8.26130084974841e+01,
98,nom,325.6962025e-3,fail,1.86936210716774e-08,8.20268066454765e+01,
99,nom,327.721519e-3,fail,1.94317931434703e-08,8.16977228495041e+01,
100,nom,329.7468354e-3,fail,2.01771748459213e-08,8.11103934215054e+01,
101,nom,331.7721519e-3,fail,2.09495603280946e-08,8.06800683017323e+01,
102,nom,333.7974684e-3,fail,2.18120673860389e-08,7.97046092838272e+01,
103,nom,335.8227848e-3,fail,2.27220127427122e-08,7.92417191513556e+01,
104,nom,337.8481013e-3,fail,2.37839385901126e-08,7.97416619594605e+01,
105,nom,339.8734177e-3,fail,2.47473111372750e-08,7.83621290744229e+01,
106,nom,341.8987342e-3,fail,2.57417657079132e-08,7.79836052403029e+01,
107,nom,343.9240506e-3,fail,2.67810992064955e-08,7.74154532509766e+01,
108,nom,345.9493671e-3,fail,2.77894543374137e-08,7.68331311050260e+01,
109,nom,347.9746835e-3,fail,2.89406091290670e-08,7.64715311262142e+01,
110,nom,350e-3,fail,3.01774890411473e-08,7.62486793466265e+01,
111,nom,351e-3,fail,3.08365067166192e-08,7.60008415475294e+01,
112,nom,357.3846154e-3,fail,3.47959554569897e-08,7.44579893751120e+01,
113,nom,363.7692308e-3,fail,3.96428697730629e-08,7.29607220832931e+01,
114,nom,370.1538462e-3,fail,4.48720261202999e-08,7.14571521941715e+01,
115,nom,376.5384615e-3,fail,5.05542440554050e-08,7.02917985006449e+01,
116,nom,382.9230769e-3,fail,5.74908420361571e-08,6.91041780246321e+01,
117,nom,389.3076923e-3,fail,6.49297220167296e-08,6.86820372105143e+01,
118,nom,395.6923077e-3,fail,7.30982606745474e-08,6.73516535094494e+01,
119,nom,402.0769231e-3,fail,8.26514443289554e-08,6.59516975730044e+01,
120,nom,408.4615385e-3,fail,9.30062547859154e-08,6.53908870822614e+01,
121,nom,414.8461538e-3,fail,1.04161006444050e-07,6.41163102031309e+01,
122,nom,421.2307692e-3,fail,1.17022805217697e-07,6.32172991967923e+01,
123,nom,427.6153846e-3,fail,1.31618159329304e-07,6.24081136090749e+01,
124,nom,434e-3,fail,1.46494622790952e-07,6.16872577483777e+01,
125,nom,440.3846154e-3,fail,1.63096824159686e-07,6.07129411013757e+01,
126,nom,446.7692308e-3,fail,1.81943220301206e-07,6.00187542992747e+01,
127,nom,453.1538462e-3,fail,2.02439042903982e-07,5.97250288192070e+01,
128,nom,459.5384615e-3,fail,2.24410413449920e-07,5.86303911760190e+01,
129,nom,465.9230769e-3,fail,2.47208525336479e-07,5.78879103582008e+01,
130,nom,472.3076923e-3,fail,2.71646955604993e-07,5.70722132084519e+01,
131,nom,478.6923077e-3,fail,2.99551051160044e-07,5.67081434046294e+01,
132,nom,485.0769231e-3,fail,3.30143048443555e-07,5.61870106329207e+01,
133,nom,491.4615385e-3,fail,3.62273092691355e-07,5.59255288796534e+01,
134,nom,497.8461538e-3,fail,3.95048402819939e-07,5.50277280314160e+01,
135,nom,504.2307692e-3,fail,4.29689587542700e-07,5.45628980493759e+01,
136,nom,510.6153846e-3,fail,4.66494097755646e-07,5.44091264179450e+01,
137,nom,517e-3,fail,5.05789191822224e-07,5.37522197837163e+01,
138,nom,523.3846154e-3,fail,5.50024213277243e-07,5.33414244071813e+01,
139,nom,529.7692308e-3,fail,5.95791623864401e-07,5.29983723823385e+01,
140,nom,536.1538462e-3,fail,6.44806572388207e-07,5.26544513870371e+01,
141,nom,542.5384615e-3,fail,6.94487548191660e-07,5.19729656988375e+01,
142,nom,548.9230769e-3,fail,7.44690428127365e-07,5.16625763031533e+01,
143,nom,555.3076923e-3,fail,7.96367582236652e-07,5.10481255321492e+01,
144,nom,561.6923077e-3,fail,8.52802809624393e-07,5.09050269055946e+01,
145,nom,568.0769231e-3,fail,9.07685320598183e-07,5.08346797739599e+01,
146,nom,574.4615385e-3,fail,9.70230957116111e-07,5.02114875776872e+01,
147,nom,580.8461538e-3,fail,1.03582570282702e-06,5.00884469482869e+01,
148,nom,587.2307692e-3,fail,1.10395533387210e-06,4.99260814195044e+01,
149,nom,593.6153846e-3,fail,1.17628000505562e-06,4.93052254229691e+01,
150,nom,600e-3,fail,1.25018080176819e-06,4.96891701109659e+01,
151,nom,700e-3,fail,2.71722193218217e-06,4.64559851827750e+01,
152,nom,757.8947368e-3,fail,3.82895979950619e-06,4.49451539554240e+01,
153,nom,815.7894737e-3,fail,5.17308827589684e-06,4.34276155672282e+01,
154,nom,873.6842105e-3,fail,6.75798718576878e-06,4.29545749839971e+01,
155,nom,931.5789474e-3,fail,8.45957294446367e-06,4.14178896788451e+01,
156,nom,989.4736842e-3,fail,1.03403772328851e-05,4.07288284515140e+01,
157,nom,1.047368421,fail,1.24479805355134e-05,4.01604797059070e+01,
158,nom,1.105263158,fail,1.47979860746140e-05,3.98851556813280e+01,
159,nom,1.163157895,fail,1.72989490264122e-05,3.92804273110451e+01,
160,nom,1.221052632,fail,1.98967720041846e-05,3.87759127104388e+01,
161,nom,1.278947368,fail,2.26605623005956e-05,3.83522346066205e+01,
162,nom,1.336842105,fail,2.54047517227374e-05,3.77756466329861e+01,
163,nom,1.394736842,fail,2.83546938696320e-05,3.74279324489296e+01,
164,nom,1.452631579,fail,3.14272330220854e-05,3.73680107845693e+01,
165,nom,1.510526316,fail,3.48907019996572e-05,3.69825684255028e+01,
166,nom,1.568421053,fail,3.83221522762773e-05,3.66509979574512e+01,
167,nom,1.626315789,fail,4.19337922560942e-05,3.63119300339208e+01,
168,nom,1.684210526,fail,4.56822973725385e-05,3.60746808012602e+01,
169,nom,1.742105263,fail,4.94912058824028e-05,3.60461579131868e+01,
170,nom,1.8,fail,5.34043762349459e-05,3.58565382655790e+01,

