Point,Corner,Vbias,Pass/Fail,/osc,PWR,FREQ,/V0/PLUS
93,nom,1.584,pass,,1.36222815763652e-09,8.48453898537999e+01,
94,nom,1.585,pass,,1.36451817584739e-09,8.57564523908601e+01,
95,nom,1.585,pass,,1.36879812477915e-09,8.75531028889167e+01,
96,nom,1.586,pass,,1.37195622254109e-09,8.92289103484709e+01,
97,nom,1.587,pass,,1.37579347387754e-09,9.14863190135703e+01,
98,nom,1.588,pass,,1.37870219215049e-09,9.32092301937250e+01,
99,nom,1.588,pass,,1.38285433906989e-09,9.38349689249855e+01,
100,nom,1.589,pass,,1.38653041500290e-09,9.66953682679631e+01,
101,nom,1.59,pass,,1.39148668529305e-09,9.73473533034674e+01,
102,nom,1.6,pass,,1.46258912603745e-09,1.22761803420569e+02,
103,nom,1.605,pass,,1.51837390216832e-09,1.39018980112150e+02,
104,nom,1.611,pass,,1.58175429082438e-09,1.55988214771319e+02,
105,nom,1.616,pass,,1.64782544394930e-09,1.73652629003235e+02,
106,nom,1.621,pass,,1.72021136412478e-09,1.90238537226667e+02,
107,nom,1.626,pass,,1.78863434570094e-09,2.10166610850905e+02,
108,nom,1.632,pass,,1.85992216655933e-09,2.28256201502670e+02,
109,nom,1.637,pass,,1.92354088893480e-09,2.41750415315310e+02,
110,nom,1.642,pass,,1.98280186270866e-09,2.55769952197219e+02,
111,nom,1.647,pass,,2.03258498536633e-09,2.69488440584327e+02,
112,nom,1.653,pass,,2.07322974718289e-09,2.80067239087614e+02,
113,nom,1.658,pass,,2.11220536150498e-09,2.86945718333280e+02,
114,nom,1.663,pass,,2.13811014282115e-09,2.97175696090394e+02,
115,nom,1.668,pass,,2.16583048753404e-09,3.03703763425600e+02,
116,nom,1.674,pass,,2.18571537628594e-09,3.06630623808630e+02,
117,nom,1.679,pass,,2.20571001033594e-09,3.10604806302217e+02,
118,nom,1.684,pass,,2.21938518337967e-09,3.17506894783620e+02,
119,nom,1.689,pass,,2.23248364223584e-09,3.17108722378521e+02,
120,nom,1.695,pass,,2.24252376845446e-09,3.22719086688620e+02,
121,nom,1.7,pass,,2.25280719177714e-09,3.22360864450579e+02,
122,nom,1.71,pass,,2.26662729933643e-09,3.28456085304027e+02,
123,nom,1.732,pass,,2.28604031115916e-09,3.29912470203802e+02,
124,nom,1.755,pass,,2.29989269208152e-09,3.35136306045657e+02,
125,nom,1.778,pass,,2.29930776192717e-09,3.35735697993660e+02,
126,nom,1.8,pass,,2.30718521751494e-09,3.39605066169746e+02,

